device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,inter_gaze_origin_validity,index,window_1,window_2,selected_eye,inter_gaze_point_on_display_area,inter_gaze_origin_validity,inter_gaze_origin_in_trackbox_coordinate_system,inter_gaze_origin_in_user_coordinate_system
361131036442,361112893559,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,56,54,58,inter,"[0.9348281946320876, 0.324709945486724]",1,"[0.6978297208241651, 0.6695868710161336, 0.5619552188942156]","[-103.37917993038138, -86.83267056655049, 689.8232445915105]"
361131040442,361112897558,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,57,55,59,inter,"[0.9338310549467121, 0.3255580269794756]",1,"[0.6978256664413257, 0.6695931463660431, 0.5619637748344722]","[-103.3776154155916, -86.8362899379605, 689.8270910083595]"
361131044437,361112901553,"(0.9328351616859436, 0.32640504837036133)","(225.3459930419922, 212.3625946044922, 66.6518325805664)",1,5.3445587158203125,1,"(-103.37605285644531, -86.83990478515625, 689.8309326171875)","(0.6978216171264648, 0.6695994138717651, 0.5619723200798035)",1,"(0.9191654324531555, 0.331630140542984)","(218.28858947753906, 210.77828979492188, 66.07520294189453)",1,5.3235015869140625,1,"(-40.95600509643555, -86.3350830078125, 691.5423583984375)","(0.5753098130226135, 0.6680640578269958, 0.5516619086265564)",1,0,58,56,60,left,,0,,
361131048437,361112905554,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,59,57,61,inter,"[0.9330555319786071, 0.32653554479281105]",1,"[0.6978249073028564, 0.6695946017901103, 0.56199658314387]","[-103.37913309733072, -86.83865865071614, 689.841963704427]"
361131052437,361112909554,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,60,58,62,inter,"[0.9332759022712708, 0.3266660412152608]",1,"[0.6978281974792481, 0.6695897897084554, 0.5620208462079366]","[-103.38221333821615, -86.83741251627605, 689.8529947916667]"
361131056437,361112913554,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,61,59,63,inter,"[0.9334962725639343, 0.32679653763771055]",1,"[0.6978314876556396, 0.6695849776268006, 0.5620451092720031]","[-103.38529357910156, -86.83616638183594, 689.8640258789062]"
361131060437,361112917554,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,62,60,64,inter,"[0.933716642856598, 0.3269270340601603]",1,"[0.6978347778320313, 0.6695801655451457, 0.5620693723360698]","[-103.38837381998698, -86.83492024739583, 689.8750569661458]"
361131064437,361112921554,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,63,61,65,inter,"[0.9339370131492615, 0.32705753048261005]",1,"[0.6978380680084229, 0.6695753534634908, 0.5620936354001363]","[-103.39145406087239, -86.83367411295573, 689.8860880533854]"
361131068437,361112925554,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,64,62,66,inter,"[0.934157383441925, 0.3271880269050598]",1,"[0.6978413581848144, 0.6695705413818359, 0.5621178984642029]","[-103.39453430175782, -86.83242797851562, 689.897119140625]"
361131072437,361112929554,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,65,63,67,inter,"[0.9343777537345886, 0.32731852332750955]",1,"[0.6978446483612061, 0.6695657293001811, 0.5621421615282695]","[-103.39761454264323, -86.83118184407552, 689.9081502278646]"
