id,time,velocity,type,point
542,7709983097,459.9858337124345,2,"(1473.7007904052734, 1196.6699123382568, 615.80322265625)"
543,7709987097,238.4159652875941,2,"(1467.5119400024414, 1199.4000434875488, 615.7915649414062)"
544,7709991097,249.0476345770773,2,"(1470.7605743408203, 1196.8422889709473, 615.8116455078125)"
545,7709995097,87.21955506003752,2,"(1474.408950805664, 1190.2230978012085, 615.7571411132812)"
546,7709999097,242.62337244731586,2,"(1473.2540130615234, 1192.1963453292847, 615.7357177734375)"
547,7710003097,242.62337244731586,2,"(1468.4527587890625, 1192.5787925720215, 615.7240600585938)"
548,7710007097,469.0541691870662,2,"(1473.145751953125, 1188.491177558899, 615.7120361328125)"
549,7710011097,488.3118864778306,2,"(1471.6684341430664, 1187.463355064392, 615.6588134765625)"
550,7710015097,334.38973440035704,2,"(1468.377685546875, 1196.2214469909668, 615.67822265625)"
551,7710019097,702.4281914607849,2,"(1472.0647430419922, 1193.349266052246, 615.667236328125)"
552,7710023097,491.3273679781571,2,"(1480.8709716796875, 1206.8964958190918, 615.6555786132812)"
553,7710027097,308.6868308703609,2,"(1478.2624053955078, 1192.0087337493896, 615.634033203125)"
554,7710031097,159.99419062835105,2,"(1469.5489883422852, 1190.5957460403442, 615.6325073242188)"
555,7710035097,318.2139944469862,2,"(1455.6148147583008, 1186.5301609039307, 615.6487833658854)"
556,7710039097,408.842707684741,2,"(1441.6806411743164, 1182.464575767517, 615.6650594075521)"
557,7710043097,426.7024298222963,2,"(1427.746467590332, 1178.3989906311035, 615.6813354492188)"
558,7710047097,524.2705228485107,2,"(1474.5019912719727, 1192.7234172821045, 615.67041015625)"
559,7710051097,985.4197427363231,2,"(1465.7787322998047, 1199.06644821167, 615.64892578125)"
560,7710055097,60.2576324675115,2,"(1450.9693908691406, 1192.7584648132324, 615.6475830078125)"
561,7710059097,27.445697372247302,2,"(1436.1600494384766, 1186.450481414795, 615.646240234375)"
562,7710063097,260.34518276628734,2,"(1467.7680587768555, 1209.5048904418945, 615.571533203125)"
563,7710067097,704.0726909734614,2,"(1456.264305114746, 1203.5329818725586, 615.5630900065104)"
564,7710071097,733.2333043187604,2,"(1444.7605514526367, 1197.5610733032227, 615.5546468098959)"
565,7710075097,611.3088585386181,2,"(1433.2567977905273, 1191.5891647338867, 615.5462036132812)"
566,7710079097,611.3088585386181,2,"(1462.5449752807617, 1195.9201097488403, 615.597412109375)"
567,7710083097,1462.9440664561184,2,"(1462.4076461791992, 1182.6556205749512, 615.606201171875)"
568,7710087097,817.3970306361853,2,"(1470.7008361816406, 1192.1528577804565, 615.6050415039062)"
569,7710091097,800.7142607536377,2,"(1442.464599609375, 1173.4035730361938, 615.603515625)"
570,7710095097,1428.238592611791,2,"(1441.7070007324219, 1168.4690237045288, 615.5908813476562)"
571,7710099097,266.29496295809383,2,"(1477.8725051879883, 1187.1537923812866, 615.56787109375)"
572,7710103097,266.2949629580919,2,"(1479.927749633789, 1183.828067779541, 615.5960693359375)"
573,7710107097,266.2949629580929,2,"(1476.5254211425781, 1203.27787399292, 615.564208984375)"
574,7710111097,266.2949629580919,2,"(1480.8630752563477, 1201.7718315124512, 615.520751953125)"
575,7710115097,266.29496295809383,2,"(1458.061752319336, 1202.7919292449951, 615.4970703125)"
576,7710119097,806.093857081209,2,"(1479.5844268798828, 1199.6564626693726, 615.4322509765625)"
577,7710123097,176.162579700022,2,"(1476.1689376831055, 1204.4390201568604, 615.419921875)"
578,7710127097,527.3337357649908,2,"(1421.2850189208984, 1189.978551864624, 615.4183349609375)"
579,7710131097,1585.1846655374852,2,"(1481.0834884643555, 1194.5705652236938, 615.4375)"
580,7710135097,73.39537954774325,2,"(1471.117057800293, 1212.9661560058594, 615.4671630859375)"
581,7710139097,73.39537954774325,2,"(1456.0886764526367, 1203.8094520568848, 615.4659423828125)"
582,7710143097,73.39537954774325,2,"(1488.4381484985352, 1211.4486694335938, 615.485595703125)"
583,7710147097,661.3223326458269,2,"(1501.600685119629, 1185.9065294265747, 615.515380859375)"
584,7710151097,189.9802497667112,2,"(1478.9044189453125, 1201.34596824646, 615.5343627929688)"
585,7710155097,189.9802497667112,2,"(1446.3561630249023, 1191.3790941238403, 615.5741577148438)"
586,7710159097,189.9802497667112,2,"(1477.0769119262695, 1204.3737888336182, 615.6043701171875)"
587,7710163097,1197.6365391464683,2,"(1448.7366485595703, 1206.3411712646484, 615.6134033203125)"
588,7710167097,528.9604849172661,2,"(1467.6363372802734, 1198.5641241073608, 615.633544921875)"
589,7710171097,528.9604849172661,2,"(1466.3150024414062, 1193.4599161148071, 615.6325073242188)"
590,7710175097,965.3831843507951,2,"(1464.1066360473633, 1197.0924139022827, 615.6306762695312)"
591,7710179097,72.54489231116715,2,"(1459.6000671386719, 1201.4111995697021, 615.6193237304688)"
592,7710183097,72.54489231116715,2,"(1470.157127380371, 1207.6163291931152, 615.6058959960938)"
593,7710187097,72.54489231116715,2,"(1475.526466369629, 1193.1472778320312, 615.5537109375)"
594,7710191097,467.8441628206697,2,"(1467.374382019043, 1202.2440433502197, 615.563720703125)"
595,7710195097,275.14555831270826,2,"(1474.0662002563477, 1198.5300064086914, 615.6031494140625)"
596,7710199097,275.14555831270826,2,"(1471.9127655029297, 1193.7576055526733, 615.5281982421875)"
597,7710203097,1010.8921804056458,2,"(1475.1612854003906, 1207.314920425415, 615.4943237304688)"
598,7710207097,167.51831420883943,2,"(1466.3032150268555, 1196.9552278518677, 615.535888671875)"
599,7710211097,167.51831420883943,2,"(1475.8985137939453, 1201.4492511749268, 615.5447998046875)"
600,7710215097,44.464607106544186,2,"(1472.8886032104492, 1194.956874847412, 615.5438842773438)"
